,0
0,Alabama
1,Alaska
2,Arkansas
3,California
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Illinois
12,Indiana
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Maryland
18,Massachusetts
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,New Hampshire
24,New Jersey
25,New York
26,North Carolina
27,North Dakota
28,Ohio
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Texas
37,Utah
38,Vermont
39,Virginia
40,Washington
41,West Virginia
42,Wisconsin
43,Wyoming
